ID	Pic	Name	Range	Equip	bDef	bDur	bStack	bTome	bMonst	bCharm	bSpell	bUnique
9ts			14	4		1	1						
7ja	-5		13	4		1	1						
7pi			13	4		1	1						
7s7			13	4		1	1						
7gl			14	4		1	1						
7ts			14	4		1	1						
***********长柄****************
spr			24	4		1							
tri			24	4		1							
brn			24	4		1							
spt			24	4		1							
pik			24	4		1							
bar			24	4		1							
vou			24	4		1							
scy			24	4		1							
pax			24	4		1							
hal			24	4		1							
wsc			24	4		1							
9sr	-11		24	4		1							
9tr			24	4		1							
9br			24	4		1							
9st			24	4		1							
9p9			24	4		1							
9b7			24	4		1							
9vo			24	4		1							
9s8			24	4		1							
9pa			24	4		1							
9h9			24	4		1							
9wc			24	4		1							
7sr	-11		24	4		1							
7tr			24	4		1							
7br			24	4		1							
7st			24	4		1							
7p7			24	4		1							
7o7			24	4		1							
7vo			24	4		1							
7s8			24	4		1							
7pa			24	4		1							
7h7			24	4		1							
7wc			24	4		1							
***********Sor杖****************
*ID	Pic	Name	Range	Equip	bDef	bDur	bStack	bTome	bMonst	bCharm	bSpell	bUnique	Dmg1Min	Dmg1Max	Dmg2Min	Dmg2Max
sst			13	4		1									1	5
lst			14	4		1							
cst			14	4		1							
bst			14	4		1							
wst			24	4		1							
8ss	-5		13	4		1							
8ls			14	4		1							
8cs			14	4		1							
8bs			14	4		1							
8ws			24	4		1							
6ss	-5		13	4		1							
6ls			14	4		1							
6cs			14	4		1							
6bs			14	4		1							
6ws			24	4		1							
**********弓弩****************
sbw			23	4		1							
hbw			23	4		1							
lbw			24	4		1							
cbw			23	4		1							
sbb			23	4		1							
lbb			24	4		1							
swb			23	4		1							
lwb			24	4		1							
lxb			23	4		1							
mxb			23	4		1							
hxb			24	4		1							
rxb			23	4		1							
8sb	-12		23	4		1							
8hb			23	4		1							
8lb			24	4		1							
8cb			23	4		1							
8s8			23	4		1							
8l8			24	4		1							
8sw			23	4		1							
8lw			24	4		1							
8lx			23	4		1							
8mx			23	4		1							
8hx			24	4		1							
8rx			23	4		1							
6sb	-12		23	4		1							
6hb			23	4		1							
6lb			24	4		1							
6cb			23	4		1							
6s7			23	4		1							
6l7			24	4		1							
6sw			23	4		1							
6lw			24	4		1							
6lx			23	4		1							
6mx			23	4		1							
6hx			24	4		1							
6rx			23	4		1							
**********毒药****************
gps				4		1	1						
ops				4		1	1						
gpm				4		1	1						
opm				4		1	1						
gpl				4		1	1						
opl				4		1	1						
**********任务****************
*ID	Pic	Name	Range	Equip	bDef	bDur	bStack	bTome	bMonst	bCharm	bSpell	bUnique	Dmg1Min	Dmg1Max	Dmg2Min	Dmg2Max
d33			12	4		1						1
g33			12	4		1						1
leg			13	4		1						
hdm			12	4		1						1
hfh			23	4		1						1
hst			14	4		1							
msf			13	4		1							
qf1			23	4		1							
qf2			23	4		1							
**********Ass剪****************
ktr			13	4		1							
wrb	-1		13	4		1							
axf			13	4		1							
ces	-1		13	4		1							
clw			13	4		1							
btl	-1		13	4		1							
skr			13	4		1							
9ar	-4		13	4		1							
9wb	-1		13	4		1							
9xf			13	4		1							
9cs	-1		13	4		1							
9lw			13	4		1							
9tw	-1		13	4		1							
9qr			13	4		1							
7ar	-4		13	4		1							
7wb	-1		13	4		1							
7xf			13	4		1							
7cs	-1		13	4		1							
7lw			13	4		1							
7tw	-1		13	4		1							
7qr			13	4		1							
**********Sor球****************
ob1			12	4		1							
ob2			12	4		1							
ob3			12	4		1							
ob4			12	4		1							
ob5			13	4		1							
ob6	-5		12	4		1							
ob7			12	4		1							
ob8			12	4		1							
ob9			12	4		1							
oba			13	4		1							
obb	-5		12	4		1							
obc			12	4		1							
obd			12	4		1							
obe			12	4		1							
obf			13	4		1							
**********Ama专用****************
am1			24	4		1							
am2			24	4		1							
am3			24	4		1							
am4			24	4		1							
am5			13	4		1	1						
am6	-5		24	4		1							
am7			24	4		1							
am8			24	4		1							
am9			24	4		1							
ama			13	4		1	1						
amb	-5		24	4		1							
amc			24	4		1							
amd			24	4		1							
ame			24	4		1							
amf			13	4		1	1						


