*ITEM
*ID	Pic	Name	Range	Equip	bDef	bDur	bStack	bTome	bMonst	bCharm	bSpell	bUnique				
7bs			23	4		1							37	53		
7ls			23	4		1							5	77		
7wd			13	4		1							40	50		
72h			14	4		1							22	56	50	94
7cm			14	4		1							22	62	67	96
7gs			14	4		1							15	75	55	118
7b7			14	4		1							24	54	71	83
7fb			24	4		1							26	70	61	121
7gd			24	4		1							25	65	58	115
7dg			12	4		1							23	49		
7di			12	4		1							37	53		
7kr			13	4		1							15	57		
7bl			13	4		1							31	47		
***********飞刀****************																
*ID	Pic	Name	Range	Equip	bDef	bDur	bStack	bTome	bMonst	bCharm	bSpell	bUnique	Dmg1Min	Dmg1Max	Dmg2Min	Dmg2Max
tkf			12	4		1	1						2	3		
tax			12	4		1	1						4	7		
bkf			12	4		1	1						1	8		
bal			23	4		1	1						5	10		
9tk	-4		12	4		1	1						8	16		
9ta			12	4		1	1						11	22		
9bk			12	4		1	1						6	24		
9b8			23	4		1	1						13	27		
7tk	-4		12	4		1	1						23	54		
7ta			12	4		1	1						17	65		
7bk			12	4		1	1						27	35		
7b8			23	4		1	1						11	56		
***********标枪****************																
jav			13	4		1	1						1	5		
pil			13	4		1	1						4	9		
ssp			13	4		1	1						2	13		
glv			14	4		1	1						5	17		
tsp			14	4		1	1						5	15		
9ja	-5		13	4		1	1						6	19		
9pi			13	4		1	1						11	26		
9s9			13	4		1	1						8	32		
9gl			14	4		1	1						13	38		
9ts			14	4		1	1						13	35		
7ja	-5		13	4		1	1						21	57		
7pi			13	4		1	1						14	64		
7s7			13	4		1	1						33	63		
7gl			14	4		1	1						19	60		
7ts			14	4		1	1						27	35		
***********长柄****************																
spr			24	4		1									3	15
tri			24	4		1									9	15
brn			24	4		1									7	17
spt			24	4		1									15	23
pik			24	4		1									14	63
bar			24	4		1									1	27
vou			24	4		1									6	21
scy			24	4		1									8	20
pax			24	4		1									18	39
hal			24	4		1									12	45
wsc			24	4		1									15	36
9sr	-11		24	4		1									10	37
9tr			24	4		1									19	37
9br			24	4		1									16	40
9st			24	4		1									29	59
9p9			24	4		1									27	114
9b7			24	4		1									6	58
9vo			24	4		1									14	53
9s8			24	4		1									18	45
9pa			24	4		1									34	75
9h9			24	4		1									13	85
9wc			24	4		1									30	70
7sr	-11		24	4		1									35	119
7tr			24	4		1									29	144
7br			24	4		1									42	92
7st			24	4		1									18	155
7p7			24	4		1									33	178
7o7			24	4		1									28	145
7vo			24	4		1									17	165
7s8			24	4		1									12	141
7pa			24	4		1									33	150
7h7			24	4		1									46	127
7wc			24	4		1									40	114
***********Sor杖****************																
*ID	Pic	Name	Range	Equip	bDef	bDur	bStack	bTome	bMonst	bCharm	bSpell	bUnique	Dmg1Min	Dmg1Max	Dmg2Min	Dmg2Max
sst			13	4		1									1	5
lst			14	4		1									2	8
cst			14	4		1									4	12
bst			14	4		1									6	13
wst			24	4		1									12	28
8ss	-5		13	4		1									6	21
8ls			14	4		1									8	26
8cs			14	4		1									11	32
8bs			14	4		1									14	34
8ws			24	4		1									24	58
6ss	-5		13	4		1									69	85
6ls			14	4		1									75	107
6cs			14	4		1									80	93
6bs			14	4		1									65	108
6ws			24	4		1									83	99
**********弓弩****************																
sbw			23	4		1									1	4
hbw			23	4		1									2	6
lbw			24	4		1									3	10
cbw			23	4		1									4	8
sbb			23	4		1									5	11
lbb			24	4		1									3	18
swb			23	4		1									6	14
lwb			24	4		1									3	23
lxb			23	4		1									6	9
mxb			23	4		1									9	16
hxb			24	4		1									14	26
rxb			23	4		1									6	12
8sb	-12		23	4		1									6	19
8hb			23	4		1									8	22
8lb			24	4		1									10	29
8cb			23	4		1									11	26
8s8			23	4		1									13	30
8l8			24	4		1									10	42
8sw			23	4		1									14	35
8lw			24	4		1									10	50
8lx			23	4		1									14	27
8mx			23	4		1									20	42
8hx			24	4		1									33	55
8rx			23	4		1									14	32
6sb	-12		23	4		1									23	50
6hb			23	4		1									21	41
6lb			24	4		1									15	59
6cb			23	4		1									12	52
6s7			23	4		1									33	40
6l7			24	4		1									15	63
6sw			23	4		1									20	53
6lw			24	4		1									10	68
6lx			23	4		1									28	73
6mx			23	4		1									25	87
6hx			24	4		1									32	91
6rx			23	4		1									26	40
**********毒药****************																
gps				4		1	1						0	1		
ops				4		1	1						0	1		
gpm				4		1	1						0	1		
opm				4		1	1						0	1		
gpl				4		1	1						0	1		
opl				4		1	1						0	1		
**********任务****************																
*ID	Pic	Name	Range	Equip	bDef	bDur	bStack	bTome	bMonst	bCharm	bSpell	bUnique	Dmg1Min	Dmg1Max	Dmg2Min	Dmg2Max
d33			12	4		1						1	1	2		
g33			12	4		1						1	3	7		
leg			13	4		1							2	8		
hdm			12	4		1						1	6	15		
hfh			23	4		1						1	6	15		
hst			14	4		1									12	20
msf			13	4		1									10	15
qf1			23	4		1							1	15		
qf2			23	4		1							1	15		
**********Ass剪****************																
ktr			13	4		1							4	7		
wrb	-1		13	4		1							5	9		
axf			13	4		1							2	15		
ces	-1		13	4		1							7	15		
clw			13	4		1							8	15		
btl	-1		13	4		1							10	14		
skr			13	4		1							9	17		
9ar	-4		13	4		1							11	24		
9wb	-1		13	4		1							13	27		
9xf			13	4		1							8	37		
9cs	-1		13	4		1							16	37		
9lw			13	4		1							18	37		
9tw	-1		13	4		1							21	35		
9qr			13	4		1							19	40		
7ar	-4		13	4		1							39	52		
7wb	-1		13	4		1							34	45		
7xf			13	4		1							44	53		
7cs	-1		13	4		1							36	42		
7lw			13	4		1							22	53		
7tw	-1		13	4		1							24	44		
7qr			13	4		1							40	51		
**********Sor球****************																
ob1			12	4		1							2	5		
ob2			12	4		1							3	8		
ob3			12	4		1							4	10		
ob4			12	4		1							5	12		
ob5			13	4		1							8	18		
ob6	-5		12	4		1							8	21		
ob7			12	4		1							10	26		
ob8			12	4		1							11	29		
ob9			12	4		1							13	32		
oba			13	4		1							18	42		
obb	-5		12	4		1							21	46		
obc			12	4		1							18	50		
obd			12	4		1							23	55		
obe			12	4		1							12	66		
obf			13	4		1							30	53		
**********Ama专用****************																
am1			24	4		1									7	12
am2			24	4		1									9	19
am3			24	4		1									18	24
am4			24	4		1									23	55
am5			13	4		1	1						8	14		
am6	-5		24	4		1									16	29
am7			24	4		1									19	41
am8			24	4		1									34	51
am9			24	4		1									42	101
ama			13	4		1	1						18	35		
amb	-5		24	4		1									20	47
amc			24	4		1									14	72
amd			24	4		1									65	95
ame			24	4		1									37	153
amf			13	4		1	1						30	54		
