9gi	Ancient Axe
9gl	Spiculum
6sb	Spider Bow
spc	Spiked Club
am1	Stag Bow
6ls	Stalagmite
9bl	Stiletto
gpl	Strangling Gas Potion
7tr	Stygian Pike
7pi	Stygian Pilum
7ar	Suwayyah
oba	Swirling Crystal
9bt	Tabar
g33	The Gidbinn
7s8	Thresher
tax	Throwing Axe
tkf	Throwing Knife
tsp	Throwing Spear
7gm	Thunder Maul
7ha	Tomahawk
9bw	Tomb Wand
tri	Trident
7cl	Truncheon
9fc	Tulwar
9gs	Tusk Sword
92a	Twin Axe
2hs	Two-Handed Sword
7sp	Tyrant Club
7gw	Unearthed Wand
obe	Vortex Orb
vou	Voulge
6ss	Walking Stick
wnd	Wand
wax	War Axe
9m9	War Club
9bk	War Dart
7xf	War Fist
9br	War Fork
whm	War Hammer
9ja	War Javelin
7p7	War Pike
wsp	War Scepter
wsc	War Scythe
9sr	War Spear
7mp	War Spike
wst	War Staff
wsd	War Sword
6sw	Ward Bow
7b8	Winged Axe
7ts	Winged Harpoon
7bk	Winged Knife
leg	Wirt's Leg
wrb	Wrist Blade
9wb	Wrist Spike
7wb	Wrist Sword
9st	Yari
ywn	Yew Wand
9fb	Zweihander
