pac	Alma Negra
7sm	Djinn Slayer
7b7	Doombringer
rxb	Doomslinger
uvg	Dracul's Grasp
pae	Dragonscale
xrs	Duriel's Shell
fhl	Duskdeep
rin	Dwarf Star
6l7	Eaglehorn
7gm	Earth Shifter
9wh	Earthshaker
8cb	Endlesshail
obc	Eschuta's Temper
7ba	Ethereal Edge
7gi	Executioner's Justice
clb	Felloak
7lw	Firelizard's Talons
7gs	Flamebellow
9sp	Fleshrender
7kr	Fleshripper
hgl	Frostburn
7ls	Frostwind
7ts	Gargoyle's Bite
xow	Gerke's Sanctuary
cm3	Gheed's Fortune
7bl	Ghostflame
xmg	Ghoulhide
0	Giant Maimer
uh9	Giant Skull
7ta	Gimmershred
9cr	Ginther's Rift
flc	Gleamscythe
zmb	Gloom's Trap
tbt	Goblin Toe
ful	Goldskin
8lw	Goldstrike Arch
tbl	Goldwrap
xhb	Gore Rider
0	Gore Ripper
vbt	Gorefoot
bax	Goreshovel
bwn	Gravenspine
xvg	Gravepalm
qui	Greyform
ci3	Griffon's Eye
9wc	Grim's Burning Dead
bsd	Griswold's Edge
xlt	Guardian Angel
9wa	Guardian Naga
dgr	Gull
6rx	Gut Siphon
bae	Halaberd's Reign
9ws	Hand of Blessed Light
uap	Harlequin Crest
scl	Hawkmail
ush	Head Hunter's Glory
9bs	Headstriker
9di	Heart Carver
ltp	Heavenly Garb
7sc	Heaven's Light
hfh	Hell Forge Hammer
hxb	Hellcast
swb	Hellclap
xhg	Hellmouth
lsd	Hellplague
6hx	Hellrack
7bt	Hellslayer
pa9	Herald of Zakarum
9sb	Hexfire
amu	Highlord's Wrath
nea	Homunculus
9st	Hone Sundan
hst	Horadric Staff
7fl	Horizon's Tornado
lbt	Hotspur
ghm	Howltusk
gix	Humongous
9h9	Husoldal Evo
spl	Iceblink
mxb	Ichorsting
xlb	Infernostride
xtu	Iron Pelt
whm	Ironstone
92a	Islestrike
7wb	Jade Talon
dra	Jalal's Mane
9tr	Kelpie Snare
qf1	Khalim's Flail
qf2	Khalim's Will
gis	Kinemil's Awl
ci2	Kira's Guardian
scp	Knell Striker
8lb	Kuko Shakaku
7b8	Lacerator
xpk	Lance Guard
spt	Lance of Yaggai
8lx	Langer Briser
0	Larzuk's Champion
xtg	Lava Gout
lxb	Leadcrow
lbl	Lenymo
uld	Leviathan
xsh	Lidless Wall
7cr	Lightsabre
am7	Lycander's Aim
am9	Lycander's Flank
ywn	Maelstrom
tgl	Magefist
8sw	Magewrath
rin	Manald Heal
6ws	Mang Song's Lesson
amu	Mara's Kaleidoscope
umb	Marrowwalk
uow	Medusa's Gaze
0	Merman's Sprocket
7ga	Messerschmidt's Reaver
amu	Metalgrid
9mt	Moonfall
xml	Moser's Blessed Circle
rin	Nagelring
rin	Nature's Peace
0	Nethercrow
mbl	Nightsmoke
uhm	Nightwing's Veil
amu	Nokozan Relic
7cl	Nord's Tenderizer
uvc	Nosferatu's Coil
0	Odium
6cs	Ondal's Wisdom
uui	Ormus' Robes
xap	Peasant Crown
buc	Pelta Lunata
9pa	Pierre Tombale Couant
9ls	Plague Bearer
sbw	Pluckeye
9mp	Pompeii's Wrath
8mx	Pus Spitter
xtp	Que-Hegan's Wisdom
xts	Radament's Sphere
jew	Rainbow Facet
wax	Rakescar
gth	Rattlecage
lbw	Raven Claw
rin	Raven Frost
dre	Ravenlore
7ha	Razor's Edge
8ss	Razorswitch
zvb	Razortail
tri	Razortine
8ls	Ribcracker
8hb	Riphook
flb	Ripsaw
ssd	Rixot's Keen
fld	Rockfleece
xkp	Rockstopper
cbw	Rogue's Bow
72a	Rune Master
gsc	Rusthandle
uvb	Sandstorm Trek
amu	Saracen's Chance
7wh	Schaefer's Hammer
amu	Seraph's Hymn
lst	Serpent Lord
uhb	Shadow Dancer
7cs	Shadow Killer
2hs	Shadowfang
xhn	Shaftstop
0	Siggard's Stealth
aar	Silks of the Victor
xmb	Silkweave
sbr	Skewer of Krintiz
xla	Skin of the Flayed One
xea	Skin of the Vipermagi
8ws	Skull Collector
mpi	Skull Splitter
xpl	Skullder's Ire
8sb	Skystrike
vbl	Snakecord
ztb	Snowclash
umg	Soul Drainer
scy	Soul Harvest
9br	Soulfeast Tine
clm	Soulflay
chn	Sparking Mail
bld	Spectral Shard
9ba	Spellsteel
upk	Spike Thorn
9dg	Spineripper
9p9	Spire of Honor
cst	Spire of Lazarus
xng	Spirit Forge
drd	Spirit Keeper
uts	Spirit Ward
msf	Staff of Kings
xlm	Stealskull
uul	Steel Carapace
7p7	Steel Pillar
ulm	Steel Shade
kit	Steelclash
gma	Steeldriver
vou	Steelgoad
uhg	Steelrend
7wh	Stone Crusher
amd	Stoneraven
xrg	Stormchaser
wsp	Stormeye
lrg	Stormguild
7fl	Stormlash
9bt	Stormrider
uit	Stormshield
9bl	Stormspike
7wc	Stormspire
sbb	Stormstrike
spc	Stoutnail
zlb	String of Ears
9wn	Suicide Branch
9ma	Sureshrill Frost
spk	Swordback Hold
9gd	Swordguard
skp	Tarnhelm
hbt	Tearhaunch
uar	Templar's Might
9wd	The Atlantean
pax	The Battlebranch
amu	The Cat's Eye
hla	The Centurion
btx	The Chieftain
7gm	The Cranium Basher
dir	The Diggler
spr	The Dragon Chang
amu	The Eye of Etlich
msk	The Face of Horror
9qs	The Fetid Sprinkler
9gm	The Gavel of Pain
fla	The General's Tan Do Li Ga
utu	The Gladiator's Bane
hax	The Gnasher
7gd	The Grandfather
wsc	The Grim Reaper
lgl	The Hand of Broc
9sr	The Impaler
wst	The Iron Jang Bong
kri	The Jade Tan Do
amu	The Mahim-Oak Curio
9b7	The Meat Scraper
9gi	The Minotaur
oba	The Oculus
gsd	The Patriarch
7s8	The Reaper's Toll
7sc	The Redeemer
amu	The Rising Sun
bst	The Salamander
9ta	The Scalper
xui	The Spirit Shroud
rin	The Stone of Jordan
pik	The Tannr Gorerod
9gs	The Vile Husk
gts	The Ward
zhb	Thundergod's Vigor
amf	Thunderstroke
xit	Tiamat's Rebuke
ama	Titan's Revenge
9fb	Todesfaelle Flamme
7pa	Tomb Reaver
xld	Toothrow
wnd	Torch of Iro
mbt	Treads of Cthon
stu	Twitchthroe
uar	Tyrael's Might
sml	Umbral Disk
gwn	Ume's Lament
crn	Undead Crown
xhm	Valkyrie Wing
xh9	Vampire Gaze
uhm	Veil of Steel
xlg	Venom Grip
brs	Venom Ward
umc	Verdungo's Hearty Cord
7br	Viperfork
xuc	Visceratuant
bsh	Wall of the Eyeless
xtb	War Traveler
9la	Warlord's Trust
8bs	Warpspear
0	Warriv's Warder
7bk	Warshrike
xvb	Waterwalk
6sw	Widowmaker
6lw	Windforce
7m7	Windhammer
rin	Wisp Projector
8s8	Witchwild String
hbw	Witherstring
7dg	Wizardspike
lbb	Wizendraw
hal	Woestave
bac	Wolfhowl
bhm	Wormskull
7gl	Wraith Flight
9sc	Zakarum's Hand
0	Zakarum's Salvation
